lcsc,Assembly Type,Assembly Type Batch,Assembly Process,Min Order Qty,Attrition Qty,Special Component Fee,Component Library Type
1740,smtWeld,smtWeld,SMT,20,10,0.0,expand
1743,smtWeld,smtWeld,SMT,20,10,0.0,base
1744,smtWeld,smtWeld,SMT,20,10,0.0,base
1755,smtWeld,smtWeld,SMT,20,10,0.0,expand
1779,smtWeld,smtWeld,SMT,20,10,0.0,base
1790,smtWeld,smtWeld,SMT,20,10,0.0,base
1792,smtWeld,smtWeld,SMT,20,10,0.0,expand
1797,smtWeld,smtWeld,SMT,20,10,0.0,expand
1798,smtWeld,smtWeld,SMT,20,8,0.0,base
1804,smtWeld,smtWeld,SMT,20,10,0.0,base
1846,smtWeld,smtWeld,SMT,20,10,0.0,base
1848,smtWeld,smtWeld,SMT,15,4,0.0,base
1857,smtWeld,smtWeld,SMT,15,8,0.0,expand
1980,smtWeld,smtWeld,SMT,1,2,0.0,base
2128,smtWeld,smtWeld,SMT,20,10,0.0,base
2145,smtWeld,smtWeld,SMT,10,5,0.0,base
2146,smtWeld,smtWeld,SMT,10,5,0.0,base
2149,smtWeld,smtWeld,SMT,10,5,0.0,expand
2150,smtWeld,smtWeld,SMT,10,5,0.0,base
2286,smtWeld,smtWeld,SMT,20,10,0.0,base
2290,smtWeld,smtWeld,SMT,20,10,0.0,base
2296,smtWeld,smtWeld,SMT,20,10,0.0,base
2297,smtWeld,smtWeld,SMT,20,10,0.0,base
2480,smtWeld,smtWeld,SMT,5,10,0.0,base
2488,smtWeld,smtWeld,SMT,10,5,0.0,base
2500,smtWeld,smtWeld,SMT,10,5,0.0,base
3113,smtWeld,smtWeld,SMT,5,4,0.0,base
4109,smtWeld,smtWeld,SMT,20,10,0.0,base
4172,smtWeld,smtWeld,SMT,20,10,0.0,expand
4177,smtWeld,smtWeld,SMT,20,10,0.0,base
4184,smtWeld,smtWeld,SMT,20,10,0.0,base
4190,smtWeld,smtWeld,SMT,20,10,0.0,base
4197,smtWeld,smtWeld,SMT,20,10,0.0,expand
4211,smtWeld,smtWeld,SMT,20,10,0.0,base
4216,smtWeld,smtWeld,SMT,20,10,0.0,base
4260,smtWeld,smtWeld,SMT,20,10,0.0,base
4275,smtWeld,smtWeld,SMT,20,10,0.0,base
4310,smtWeld,smtWeld,SMT,20,10,0.0,base
4328,smtWeld,smtWeld,SMT,20,10,0.0,base
4360,smtWeld,smtWeld,SMT,20,10,0.0,expand
4382,smtWeld,smtWeld,SMT,20,10,0.0,base
4410,smtWeld,smtWeld,SMT,15,4,0.0,base
5377,smtWeld,smtWeld,SMT,5,1,0.0,expand
5378,smtWeld,smtWeld,SMT,20,10,0.0,base
5446,smtWeld,smtWeld,SMT,5,2,0.0,base
5590,smtWeld,smtWeld,SMT,1,0,0.0,expand
5593,smtWeld,smtWeld,SMT,1,0,0.0,expand
5605,smtWeld,smtWeld,SMT,1,0,0.0,base
5613,smtWeld,smtWeld,SMT,1,0,0.0,expand
5625,smtWeld,smtWeld,SMT,1,0,0.0,expand
5672,smtWeld,smtWeld,SMT,5,8,0.0,expand
5947,smtWeld,smtWeld,SMT,1,0,0.0,base
6186,smtWeld,smtWeld,SMT,2,0,0.0,base
6187,smtWeld,smtWeld,SMT,5,2,0.0,base
6482,smtWeld,smtWeld,SMT,1,0,0.0,expand
6521,smtWeld,smtWeld,SMT,1,0,0.0,expand
6568,smtWeld,smtWeld,SMT,1,0,0.0,expand
6649,smtWeld,smtWeld,SMT,5,4,0.0,expand
6749,smtWeld,smtWeld,SMT,10,5,0.0,base
6855,smtWeld,smtWeld,SMT,1,0,0.0,base
6952,smtWeld,smtWeld,SMT,1,0,0.0,expand
6961,smtWeld,smtWeld,SMT,1,0,0.0,base
7063,smtWeld,smtWeld,SMT,1,0,0.0,expand
7171,smtWeld,smtWeld,SMT,5,2,0.0,base
7250,smtWeld,smtWeld,SMT,20,10,0.0,base
7377,smtWeld,smtWeld,SMT,1,0,0.0,expand
7426,smtWeld,smtWeld,SMT,1,0,0.0,base
7433,smtWeld,smtWeld,SMT,1,0,0.0,base
7440,smtWeld,smtWeld,SMT,1,0,0.0,expand
7512,smtWeld,smtWeld,SMT,1,0,0.0,base
7532,smtWeld,smtWeld,SMT,1,0,0.0,expand
7562,smtWeld,smtWeld,SMT,1,0,0.0,expand
7593,smtWeld,smtWeld,SMT,1,0,0.0,expand
7722,smtWeld,smtWeld,SMT,5,0,0.0,expand
7859,smtWeld,smtWeld,SMT,1,0,0.0,expand
7881,smtWeld,smtWeld,SMT,1,0,0.0,expand
7950,smtWeld,smtWeld,SMT,1,0,0.0,base
7955,smtWeld,smtWeld,SMT,1,0,0.0,base
7972,smtWeld,smtWeld,SMT,5,4,0.0,expand
8218,smtWeld,smtWeld,SMT,20,10,0.0,base
8254,smtWeld,smtWeld,SMT,1,0,0.0,expand
8326,smtWeld,smtWeld,SMT,10,4,0.0,base
8492,smtWeld,smtWeld,SMT,10,5,0.0,expand
8512,smtWeld,smtWeld,SMT,10,5,0.0,base
8542,smtWeld,smtWeld,SMT,10,5,0.0,base
8543,smtWeld,smtWeld,SMT,10,5,0.0,base
8545,smtWeld,smtWeld,SMT,10,5,0.0,base
8598,smtWeld,smtWeld,SMT,20,8,0.0,base
8678,smtWeld,smtWeld,SMT,5,8,0.0,base
8734,smtWeld,smtWeld,SMT,1,0,0.0,expand
8959,smtWeld,smtWeld,SMT,1,0,0.0,expand
8963,smtWeld,smtWeld,SMT,1,0,0.0,base
9002,smtWeld,smtWeld,SMT,5,4,0.0,base
9006,smtWeld,smtWeld,SMT,5,4,0.0,base
9196,smtWeld,smtWeld,SMT,20,10,0.0,base
9634,smtWeld,smtWeld,SMT,5,4,0.0,base
9669,smtWeld,smtWeld,SMT,1,0,0.0,expand
9683,smtWeld,smtWeld,SMT,1,0,0.0,expand
9861,smtWeld,smtWeld,SMT,1,0,0.0,expand
9864,smtWeld,smtWeld,SMT,1,0,0.0,base
9865,smtWeld,smtWeld,SMT,1,0,0.0,expand
10002,smtWeld,smtWeld,SMT,1,0,0.0,expand
10487,smtWeld,smtWeld,SMT,5,4,0.0,base
11616,smtWeld,smtWeld,SMT,20,10,0.0,expand
11702,smtWeld,smtWeld,SMT,20,10,0.0,base
12044,smtWeld,smtWeld,SMT,5,2,0.0,expand
12084,smtWeld,smtWeld,SMT,1,0,0.0,expand
12447,smtWeld,smtWeld,SMT,20,10,0.0,expand
12530,smtWeld,smtWeld,SMT,20,10,0.0,base
12674,smtWeld,smtWeld,SMT,2,1,0.0,base
12891,smtWeld,smtWeld,SMT,5,4,0.0,base
13167,smtWeld,smtWeld,SMT,20,10,0.0,base
13320,smtWeld,smtWeld,SMT,20,10,0.0,expand
13415,smtWeld,smtWeld,SMT,20,6,0.0,expand
13482,smtWeld,smtWeld,SMT,5,0,0.0,base
13533,smtWeld,smtWeld,SMT,20,10,0.0,expand
13585,smtWeld,smtWeld,SMT,5,4,0.0,base
13738,smtWeld,smtWeld,SMT,5,4,0.0,base
13967,smtWeld,smtWeld,SMT,20,10,0.0,base
14033,smtWeld,smtWeld,SMT,20,10,0.0,expand
14289,smtWeld,smtWeld,SMT,5,2,0.0,base
14441,smtWeld,smtWeld,SMT,20,12,0.0,expand
14663,smtWeld,smtWeld,SMT,20,10,0.0,base
14857,smtWeld,smtWeld,SMT,20,10,0.0,base
14858,smtWeld,smtWeld,SMT,20,10,0.0,base
14877,smtWeld,smtWeld,SMT,1,0,0.0,expand
14996,smtWeld,smtWeld,SMT,5,8,0.0,base
15008,smtWeld,smtWeld,SMT,5,4,0.0,base
15127,smtWeld,smtWeld,SMT,5,4,0.0,base
15195,smtWeld,smtWeld,SMT,20,10,0.0,base
15525,smtWeld,smtWeld,SMT,20,10,0.0,base
15849,smtWeld,smtWeld,SMT,20,10,0.0,base
15850,smtWeld,smtWeld,SMT,20,10,0.0,base
15879,smtWeld,smtWeld,SMT,5,0,0.0,expand
16106,smtWeld,smtWeld,SMT,5,2,0.0,expand
16133,smtWeld,smtWeld,SMT,5,2,0.0,base
16581,smtWeld,smtWeld,SMT,1,0,0.0,expand
16772,smtWeld,smtWeld,SMT,20,10,0.0,base
16780,smtWeld,smtWeld,SMT,5,6,0.0,base
17168,smtWeld,smtWeld,SMT,20,10,0.0,base
17379,smtWeld,smtWeld,SMT,20,10,0.0,base
17398,smtWeld,smtWeld,SMT,20,10,0.0,expand
17408,smtWeld,smtWeld,SMT,20,10,0.0,base
17414,smtWeld,smtWeld,SMT,20,10,0.0,base
17415,smtWeld,smtWeld,SMT,20,6,0.0,base
17429,smtWeld,smtWeld,SMT,20,10,0.0,expand
17436,smtWeld,smtWeld,SMT,20,10,0.0,expand
17437,smtWeld,smtWeld,SMT,20,10,0.0,base
17444,smtWeld,smtWeld,SMT,20,10,0.0,base
17455,smtWeld,smtWeld,SMT,20,10,0.0,expand
17470,smtWeld,smtWeld,SMT,20,10,0.0,base
17471,smtWeld,smtWeld,SMT,20,10,0.0,base
17475,smtWeld,smtWeld,SMT,20,6,0.0,base
17477,smtWeld,smtWeld,SMT,20,10,0.0,base
17480,smtWeld,smtWeld,SMT,20,10,0.0,expand
17490,smtWeld,smtWeld,SMT,20,10,0.0,expand
17501,smtWeld,smtWeld,SMT,20,10,0.0,expand
17506,smtWeld,smtWeld,SMT,20,10,0.0,expand
17513,smtWeld,smtWeld,SMT,20,10,0.0,base
17514,smtWeld,smtWeld,SMT,20,6,0.0,base
17520,smtWeld,smtWeld,SMT,20,10,0.0,base
17521,smtWeld,smtWeld,SMT,20,10,0.0,base
17526,smtWeld,smtWeld,SMT,20,10,0.0,base
17530,smtWeld,smtWeld,SMT,20,10,0.0,base
17539,smtWeld,smtWeld,SMT,20,10,0.0,base
17540,smtWeld,smtWeld,SMT,20,10,0.0,base
17544,smtWeld,smtWeld,SMT,20,10,0.0,base
17556,smtWeld,smtWeld,SMT,20,10,0.0,base
17557,smtWeld,smtWeld,SMT,20,10,0.0,base
17560,smtWeld,smtWeld,SMT,20,10,0.0,base
17561,smtWeld,smtWeld,SMT,20,10,0.0,base
17572,smtWeld,smtWeld,SMT,20,10,0.0,expand
17575,smtWeld,smtWeld,SMT,20,10,0.0,base
17589,smtWeld,smtWeld,SMT,20,10,0.0,expand
17590,smtWeld,smtWeld,SMT,20,10,0.0,expand
17593,smtWeld,smtWeld,SMT,20,10,0.0,base
17594,smtWeld,smtWeld,SMT,20,10,0.0,expand
17604,smtWeld,smtWeld,SMT,20,10,0.0,base
17606,smtWeld,smtWeld,SMT,20,12,0.0,expand
17614,smtWeld,smtWeld,SMT,20,10,0.0,base
17616,smtWeld,smtWeld,SMT,20,10,0.0,expand
17617,smtWeld,smtWeld,SMT,20,10,0.0,base
17621,smtWeld,smtWeld,SMT,20,10,0.0,base
17629,smtWeld,smtWeld,SMT,20,10,0.0,expand
17630,smtWeld,smtWeld,SMT,20,10,0.0,base
17633,smtWeld,smtWeld,SMT,20,10,0.0,base
17634,smtWeld,smtWeld,SMT,20,10,0.0,base
17655,smtWeld,smtWeld,SMT,20,10,0.0,base
17656,smtWeld,smtWeld,SMT,20,10,0.0,expand
17661,smtWeld,smtWeld,SMT,20,6,0.0,base
17667,smtWeld,smtWeld,SMT,20,10,0.0,expand
17673,smtWeld,smtWeld,SMT,20,6,0.0,base
17675,smtWeld,smtWeld,SMT,20,10,0.0,base
17677,smtWeld,smtWeld,SMT,20,10,0.0,expand
17695,smtWeld,smtWeld,SMT,20,10,0.0,expand
17709,smtWeld,smtWeld,SMT,20,10,0.0,base
17710,smtWeld,smtWeld,SMT,20,10,0.0,base
17713,smtWeld,smtWeld,SMT,20,10,0.0,base
17714,smtWeld,smtWeld,SMT,20,10,0.0,base
17719,smtWeld,smtWeld,SMT,20,10,0.0,expand
17720,smtWeld,smtWeld,SMT,20,10,0.0,base
17724,smtWeld,smtWeld,SMT,20,10,0.0,base
17733,smtWeld,smtWeld,SMT,20,10,0.0,expand
17734,smtWeld,smtWeld,SMT,20,10,0.0,base
17737,smtWeld,smtWeld,SMT,20,10,0.0,base
17738,smtWeld,smtWeld,SMT,20,10,0.0,base
17756,smtWeld,smtWeld,SMT,20,10,0.0,expand
17757,smtWeld,smtWeld,SMT,20,10,0.0,expand
17767,smtWeld,smtWeld,SMT,20,10,0.0,expand
17772,smtWeld,smtWeld,SMT,20,10,0.0,base
17783,smtWeld,smtWeld,SMT,20,10,0.0,expand
17797,smtWeld,smtWeld,SMT,20,10,0.0,expand
17798,smtWeld,smtWeld,SMT,20,10,0.0,base
17801,smtWeld,smtWeld,SMT,20,10,0.0,base
17802,smtWeld,smtWeld,SMT,20,10,0.0,expand
17807,smtWeld,smtWeld,SMT,20,10,0.0,expand
17818,smtWeld,smtWeld,SMT,20,10,0.0,expand
17819,smtWeld,smtWeld,SMT,20,10,0.0,expand
17828,smtWeld,smtWeld,SMT,20,10,0.0,base
17837,smtWeld,smtWeld,SMT,20,10,0.0,expand
17840,smtWeld,smtWeld,SMT,20,10,0.0,expand
17855,smtWeld,smtWeld,SMT,20,10,0.0,expand
17887,smtWeld,smtWeld,SMT,15,4,0.0,base
17888,smtWeld,smtWeld,SMT,15,10,0.0,base
17900,smtWeld,smtWeld,SMT,15,4,0.0,base
17901,smtWeld,smtWeld,SMT,15,10,0.0,base
17902,smtWeld,smtWeld,SMT,15,10,0.0,base
17903,smtWeld,smtWeld,SMT,15,10,0.0,base
17909,smtWeld,smtWeld,SMT,15,10,0.0,base
17924,smtWeld,smtWeld,SMT,15,10,0.0,expand
17927,smtWeld,smtWeld,SMT,15,10,0.0,base
17928,smtWeld,smtWeld,SMT,15,4,0.0,base
17936,smtWeld,smtWeld,SMT,15,10,0.0,base
17944,smtWeld,smtWeld,SMT,15,10,0.0,base
17955,smtWeld,smtWeld,SMT,15,4,0.0,base
17958,smtWeld,smtWeld,SMT,15,10,0.0,base
17985,smtWeld,smtWeld,SMT,15,10,0.0,expand
18229,smtWeld,smtWeld,SMT,1,0,0.0,expand
18359,smtWeld,smtWeld,SMT,20,10,0.0,expand
19666,smtWeld,smtWeld,SMT,20,10,0.0,base
19702,smtWeld,smtWeld,SMT,20,10,0.0,base
20197,smtWeld,smtWeld,SMT,1,2,0.0,base
20526,smtWeld,smtWeld,SMT,10,5,0.0,base
20638,smtWeld,smtWeld,SMT,20,10,0.0,expand
20917,smtWeld,smtWeld,SMT,5,4,0.0,base
21117,smtWeld,smtWeld,SMT,20,10,0.0,base
21120,smtWeld,smtWeld,SMT,20,10,0.0,base
21122,smtWeld,smtWeld,SMT,20,10,0.0,base
21189,smtWeld,smtWeld,SMT,20,10,0.0,base
21190,smtWeld,smtWeld,SMT,20,10,0.0,base
21379,smtWeld,smtWeld,SMT,1,0,0.0,expand
22107,smtWeld,smtWeld,SMT,15,4,0.0,expand
22452,smtWeld,smtWeld,SMT,5,4,0.0,base
22764,smtWeld,smtWeld,SMT,20,10,0.0,expand
22765,smtWeld,smtWeld,SMT,20,10,0.0,base
22775,smtWeld,smtWeld,SMT,20,10,0.0,base
22787,smtWeld,smtWeld,SMT,20,10,0.0,base
22790,smtWeld,smtWeld,SMT,20,10,0.0,base
22795,smtWeld,smtWeld,SMT,20,10,0.0,expand
22797,smtWeld,smtWeld,SMT,20,10,0.0,base
22807,smtWeld,smtWeld,SMT,20,10,0.0,base
22808,smtWeld,smtWeld,SMT,20,10,0.0,base
22809,smtWeld,smtWeld,SMT,20,10,0.0,base
22810,smtWeld,smtWeld,SMT,20,10,0.0,expand
22813,smtWeld,smtWeld,SMT,20,10,0.0,expand
22818,smtWeld,smtWeld,SMT,20,10,0.0,expand
22827,smtWeld,smtWeld,SMT,20,10,0.0,expand
22828,smtWeld,smtWeld,SMT,20,10,0.0,expand
22843,smtWeld,smtWeld,SMT,20,10,0.0,base
22859,smtWeld,smtWeld,SMT,20,10,0.0,base
22935,smtWeld,smtWeld,SMT,20,10,0.0,base
22936,smtWeld,smtWeld,SMT,20,10,0.0,base
22938,smtWeld,smtWeld,SMT,20,10,0.0,expand
22939,smtWeld,smtWeld,SMT,20,10,0.0,base
22940,smtWeld,smtWeld,SMT,20,10,0.0,base
22950,smtWeld,smtWeld,SMT,20,10,0.0,base
22961,smtWeld,smtWeld,SMT,20,10,0.0,base
22962,smtWeld,smtWeld,SMT,20,10,0.0,base
22965,smtWeld,smtWeld,SMT,20,10,0.0,expand
22966,smtWeld,smtWeld,SMT,20,10,0.0,base
22967,smtWeld,smtWeld,SMT,20,10,0.0,base
22975,smtWeld,smtWeld,SMT,20,10,0.0,base
22976,smtWeld,smtWeld,SMT,20,10,0.0,base
22977,smtWeld,smtWeld,SMT,20,10,0.0,base
22978,smtWeld,smtWeld,SMT,20,10,0.0,base
22980,smtWeld,smtWeld,SMT,20,10,0.0,base
22984,smtWeld,smtWeld,SMT,20,10,0.0,base
23018,smtWeld,smtWeld,SMT,20,10,0.0,base
23024,smtWeld,smtWeld,SMT,20,10,0.0,base
23025,smtWeld,smtWeld,SMT,20,10,0.0,base
23046,smtWeld,smtWeld,SMT,20,10,0.0,base
23137,smtWeld,smtWeld,SMT,20,10,0.0,base
23138,smtWeld,smtWeld,SMT,20,10,0.0,base
23140,smtWeld,smtWeld,SMT,20,10,0.0,base
23146,smtWeld,smtWeld,SMT,20,10,0.0,expand
23147,smtWeld,smtWeld,SMT,20,10,0.0,expand
23150,smtWeld,smtWeld,SMT,20,10,0.0,expand
23151,smtWeld,smtWeld,SMT,20,10,0.0,base
23153,smtWeld,smtWeld,SMT,20,10,0.0,base
23156,smtWeld,smtWeld,SMT,20,10,0.0,expand
23159,smtWeld,smtWeld,SMT,20,10,0.0,expand
23162,smtWeld,smtWeld,SMT,20,10,0.0,base
23163,smtWeld,smtWeld,SMT,20,10,0.0,expand
23164,smtWeld,smtWeld,SMT,20,10,0.0,base
23170,smtWeld,smtWeld,SMT,20,10,0.0,expand
23172,smtWeld,smtWeld,SMT,20,10,0.0,expand
23178,smtWeld,smtWeld,SMT,20,10,0.0,base
23179,smtWeld,smtWeld,SMT,20,10,0.0,base
23182,smtWeld,smtWeld,SMT,20,10,0.0,base
23184,smtWeld,smtWeld,SMT,20,10,0.0,base
23185,smtWeld,smtWeld,SMT,20,10,0.0,base
23186,smtWeld,smtWeld,SMT,20,10,0.0,base
23189,smtWeld,smtWeld,SMT,20,10,0.0,base
23192,smtWeld,smtWeld,SMT,20,10,0.0,base
23193,smtWeld,smtWeld,SMT,20,10,0.0,base
23196,smtWeld,smtWeld,SMT,20,10,0.0,base
23197,smtWeld,smtWeld,SMT,20,10,0.0,base
23203,smtWeld,smtWeld,SMT,20,10,0.0,expand
23204,smtWeld,smtWeld,SMT,20,10,0.0,base
23206,smtWeld,smtWeld,SMT,20,10,0.0,base
23212,smtWeld,smtWeld,SMT,20,10,0.0,base
23220,smtWeld,smtWeld,SMT,20,10,0.0,expand
23221,smtWeld,smtWeld,SMT,20,10,0.0,expand
23228,smtWeld,smtWeld,SMT,20,10,0.0,base
23231,smtWeld,smtWeld,SMT,20,10,0.0,base
23234,smtWeld,smtWeld,SMT,20,10,0.0,base
23240,smtWeld,smtWeld,SMT,20,10,0.0,expand
23241,smtWeld,smtWeld,SMT,20,10,0.0,expand
23242,smtWeld,smtWeld,SMT,20,10,0.0,base
23253,smtWeld,smtWeld,SMT,20,10,0.0,base
23254,smtWeld,smtWeld,SMT,20,10,0.0,base
23255,smtWeld,smtWeld,SMT,20,12,0.0,expand
23260,smtWeld,smtWeld,SMT,20,10,0.0,base
23265,smtWeld,smtWeld,SMT,20,10,0.0,expand
23345,smtWeld,smtWeld,SMT,20,10,0.0,base
23350,smtWeld,smtWeld,SMT,20,10,0.0,expand
23352,smtWeld,smtWeld,SMT,20,10,0.0,base
23630,smtWeld,smtWeld,SMT,20,10,0.0,base
23733,smtWeld,smtWeld,SMT,20,10,0.0,base
23922,smtWeld,smtWeld,SMT,1,0,0.0,expand
24112,smtWeld,smtWeld,SMT,1,0,0.0,expand
24278,smtWeld,smtWeld,SMT,5,4,0.0,expand
24497,smtWeld,smtWeld,SMT,15,8,0.0,base
25076,smtWeld,smtWeld,SMT,20,10,0.0,base
25077,smtWeld,smtWeld,SMT,20,10,0.0,base
25079,smtWeld,smtWeld,SMT,20,10,0.0,base
25082,smtWeld,smtWeld,SMT,20,10,0.0,expand
25086,smtWeld,smtWeld,SMT,20,10,0.0,expand
25087,smtWeld,smtWeld,SMT,20,10,0.0,base
25091,smtWeld,smtWeld,SMT,20,10,0.0,base
25092,smtWeld,smtWeld,SMT,20,10,0.0,base
25102,smtWeld,smtWeld,SMT,20,10,0.0,expand
25104,smtWeld,smtWeld,SMT,20,10,0.0,base
25105,smtWeld,smtWeld,SMT,20,10,0.0,base
25117,smtWeld,smtWeld,SMT,20,10,0.0,base
25118,smtWeld,smtWeld,SMT,20,12,0.0,expand
25120,smtWeld,smtWeld,SMT,20,10,0.0,base
25123,smtWeld,smtWeld,SMT,20,12,0.0,base
25125,smtWeld,smtWeld,SMT,20,10,0.0,expand
25130,smtWeld,smtWeld,SMT,20,10,0.0,expand
25133,smtWeld,smtWeld,SMT,20,10,0.0,expand
25190,smtWeld,smtWeld,SMT,20,10,0.0,expand
25194,smtWeld,smtWeld,SMT,20,10,0.0,expand
25196,smtWeld,smtWeld,SMT,20,10,0.0,expand
25197,smtWeld,smtWeld,SMT,20,10,0.0,base
25270,smtWeld,smtWeld,SMT,20,10,0.0,expand
25271,smtWeld,smtWeld,SMT,20,10,0.0,base
25334,smtWeld,smtWeld,SMT,15,10,0.0,base
25510,smtWeld,smtWeld,SMT,1,2,0.0,expand
25725,smtWeld,smtWeld,SMT,20,10,0.0,expand
25741,smtWeld,smtWeld,SMT,20,10,0.0,base
25744,smtWeld,smtWeld,SMT,20,10,0.0,base
25750,smtWeld,smtWeld,SMT,20,10,0.0,expand
25752,smtWeld,smtWeld,SMT,20,10,0.0,base
25755,smtWeld,smtWeld,SMT,20,10,0.0,expand
25756,smtWeld,smtWeld,SMT,20,10,0.0,base
25762,smtWeld,smtWeld,SMT,20,10,0.0,expand
25764,smtWeld,smtWeld,SMT,20,10,0.0,base
25765,smtWeld,smtWeld,SMT,20,10,0.0,base
25767,smtWeld,smtWeld,SMT,20,10,0.0,expand
25768,smtWeld,smtWeld,SMT,20,10,0.0,base
25769,smtWeld,smtWeld,SMT,20,10,0.0,expand
25771,smtWeld,smtWeld,SMT,20,10,0.0,expand
25774,smtWeld,smtWeld,SMT,20,10,0.0,expand
25778,smtWeld,smtWeld,SMT,20,10,0.0,expand
25779,smtWeld,smtWeld,SMT,20,10,0.0,base
25783,smtWeld,smtWeld,SMT,20,10,0.0,expand
25790,smtWeld,smtWeld,SMT,20,10,0.0,expand
25792,smtWeld,smtWeld,SMT,20,10,0.0,base
25794,smtWeld,smtWeld,SMT,20,10,0.0,base
25796,smtWeld,smtWeld,SMT,20,10,0.0,expand
25798,smtWeld,smtWeld,SMT,20,10,0.0,expand
25803,smtWeld,smtWeld,SMT,20,10,0.0,base
25804,smtWeld,smtWeld,SMT,20,10,0.0,base
25805,smtWeld,smtWeld,SMT,20,10,0.0,expand
25808,smtWeld,smtWeld,SMT,20,10,0.0,base
25810,smtWeld,smtWeld,SMT,20,10,0.0,base
25811,smtWeld,smtWeld,SMT,20,10,0.0,base
25819,smtWeld,smtWeld,SMT,20,10,0.0,base
25822,smtWeld,smtWeld,SMT,20,10,0.0,expand
25826,smtWeld,smtWeld,SMT,20,10,0.0,expand
25862,smtWeld,smtWeld,SMT,20,10,0.0,expand
25867,smtWeld,smtWeld,SMT,20,10,0.0,base
